Activity_ID,Project_ID,WBS_Code,Activity_Name,Category,Subcategory,Unit,Planned_Quantity,Unit_Rate_INR,Budget_Cost_INR,Planned_Start_Date,Planned_End_Date,Duration_Days,Predecessor_ID,Contractor_ID
A001,P001,1.01,Site Mobilization,Preliminaries,Mobilization,lot,1,450000,450000,2026-01-01,2026-01-10,10,,C001
A002,P001,1.02,Site Clearance,Preliminaries,Site Preparation,m²,5000,35,175000,2026-01-01,2026-01-10,10,A001,C001
A003,P001,1.03,Temporary Facilities,Preliminaries,Site Setup,lot,1,300000,300000,2026-01-05,2026-01-24,20,A002,C001
A004,P001,1.04,Setting Out,Preliminaries,Survey,lot,1,150000,150000,2026-01-08,2026-01-14,7,A003,C001
A005,P001,2.01,Excavation,Earthwork,Excavation,m³,3500,450,1575000,2026-01-12,2026-02-10,30,A004,C001
A006,P001,2.02,Earth Filling,Earthwork,Filling,m³,1800,550,990000,2026-02-01,2026-02-20,20,A005,C001
A007,P001,2.03,Compaction,Earthwork,Compaction,m³,1800,180,324000,2026-02-06,2026-02-20,15,A006,C001
A008,P001,2.04,Disposal of Excavated Soil,Earthwork,Disposal,m³,1700,320,544000,2026-01-20,2026-02-06,18,A007,C001
A009,P001,3.01,PCC for Foundations,Foundation,PCC,m³,450,6500,2925000,2026-02-15,2026-03-04,18,A008,C002
A010,P001,3.02,Footing Reinforcement,Foundation,Reinforcement,tonne,85,72000,6120000,2026-02-20,2026-03-16,25,A009,C002
A011,P001,3.03,Footing RCC,Foundation,RCC,m³,650,8500,5525000,2026-03-01,2026-03-30,30,A010,C002
A012,P001,3.04,Foundation Columns,Foundation,RCC Columns,m³,220,9000,1980000,2026-03-15,2026-04-05,22,A011,C002
A013,P001,3.05,Plinth Beam,Foundation,RCC Beam,m³,180,9000,1620000,2026-03-25,2026-04-13,20,A012,C002
A014,P001,3.06,Damp Proof Course,Foundation,DPC,m,850,180,153000,2026-04-10,2026-04-19,10,A013,C001
A015,P001,4.01,Ground Floor Columns,Structure,Columns,m³,90,9000,810000,2026-04-01,2026-04-18,18,A014,C002
A016,P001,4.02,First Floor Columns,Structure,Columns,m³,90,9000,810000,2026-04-20,2026-05-07,18,A015,C002
A017,P001,4.03,Second Floor Columns,Structure,Columns,m³,90,9000,810000,2026-05-09,2026-05-26,18,A016,C002
A018,P001,4.04,Third Floor Columns,Structure,Columns,m³,90,9000,810000,2026-05-28,2026-06-14,18,A017,C002
A019,P001,4.05,Fourth Floor Columns,Structure,Columns,m³,90,9000,810000,2026-06-16,2026-07-03,18,A018,C002
A020,P001,4.06,Fifth Floor Columns,Structure,Columns,m³,90,9000,810000,2026-07-05,2026-07-22,18,A019,C002
A021,P001,4.07,Sixth Floor Columns,Structure,Columns,m³,90,9000,810000,2026-07-24,2026-08-10,18,A020,C002
A022,P001,4.08,Seventh Floor Columns,Structure,Columns,m³,90,9000,810000,2026-08-12,2026-08-29,18,A021,C002
A023,P001,4.09,Eighth Floor Columns,Structure,Columns,m³,90,9000,810000,2026-08-31,2026-09-17,18,A022,C002
A024,P001,4.1,Ninth Floor Columns,Structure,Columns,m³,90,9000,810000,2026-09-19,2026-10-06,18,A023,C002
A025,P001,4.11,Tenth Floor Columns,Structure,Columns,m³,90,9000,810000,2026-10-08,2026-10-25,18,A024,C002
