Cost_ID,Project_ID,Activity_ID,Date,Contractor_ID,Cost_Type,Description,Planned_Cost_INR,Actual_Cost_INR,Vendor_or_Source
CT00001,P001,A001,2026-01-04,C001,Other,Site overhead and miscellaneous,89729.3,82559.11,Internal Team
CT00002,P001,A001,2026-01-05,C001,Subcontract,Subcontractor work,108671.94,113353.4,C001
CT00003,P001,A001,2026-01-05,C001,Labour,Site labour and workforce cost,125632.49,116228.12,Internal Team
CT00004,P001,A001,2026-01-06,C001,Labour,Site labour and workforce cost,116436.54,109995.89,Internal Team
CT00005,P001,A002,2026-01-02,C001,Subcontract,Subcontractor work,55774.21,61260.6,C001
CT00006,P001,A002,2026-01-10,C001,Equipment,Equipment operation/rental,50478.14,56107.53,BuildPlant Equipment
CT00007,P001,A002,2026-01-10,C001,Subcontract,Subcontractor work,58339.45,64059.54,C001
CT00008,P001,A003,2026-01-08,C001,Other,Site overhead and miscellaneous,87521.65,84201.03,Internal Team
CT00009,P001,A003,2026-01-14,C001,Labour,Site labour and workforce cost,104122.24,112344.1,Internal Team
CT00010,P001,A003,2026-01-21,C001,Labour,Site labour and workforce cost,124513.9,125047.29,Internal Team
CT00011,P001,A004,2026-01-10,C001,Other,Site overhead and miscellaneous,58320.93,56484.54,Internal Team
CT00012,P001,A004,2026-01-12,C001,Labour,Site labour and workforce cost,48495.23,52263.27,Internal Team
CT00013,P001,A004,2026-01-13,C001,Subcontract,Subcontractor work,62126.17,66162.94,C001
CT00014,P001,A005,2026-01-29,C001,Equipment,Equipment operation/rental,420656.96,483509.38,BuildPlant Equipment
CT00015,P001,A005,2026-02-04,C001,Equipment,Equipment operation/rental,442806.16,503339.31,BuildPlant Equipment
CT00016,P001,A005,2026-02-06,C001,Equipment,Equipment operation/rental,360414.53,397042.89,BuildPlant Equipment
CT00017,P001,A005,2026-02-09,C001,Equipment,Equipment operation/rental,332465.22,407133.1,BuildPlant Equipment
CT00018,P001,A006,2026-02-06,C001,Equipment,Equipment operation/rental,250990.74,243616.09,BuildPlant Equipment
CT00019,P001,A006,2026-02-09,C001,Transportation,Material/soil transportation,276705.23,283606.17,C001
CT00020,P001,A006,2026-02-20,C001,Equipment,Equipment operation/rental,292880.12,272493.17,BuildPlant Equipment
CT00021,P001,A007,2026-02-06,C001,Labour,Site labour and workforce cost,113754.58,112747.86,Internal Team
CT00022,P001,A007,2026-02-06,C001,Transportation,Material/soil transportation,104913.98,97726.07,C001
CT00023,P001,A007,2026-02-19,C001,Labour,Site labour and workforce cost,124348.62,132168.71,Internal Team
CT00024,P001,A008,2026-01-20,C001,Labour,Site labour and workforce cost,149603.59,142489.41,Internal Team
CT00025,P001,A008,2026-01-22,C001,Other,Site overhead and miscellaneous,195838.75,202883.21,Internal Team
CT00026,P001,A008,2026-01-30,C001,Equipment,Equipment operation/rental,190348.03,204148.97,BuildPlant Equipment
CT00027,P001,A009,2026-02-23,C002,Material,Material purchase and consumption,753657.08,800157.07,C002
CT00028,P001,A009,2026-02-25,C002,Material,Material purchase and consumption,1078062.06,1112192.86,C002
CT00029,P001,A009,2026-03-02,C002,Material,Material purchase and consumption,945349.53,1028503.27,C002
CT00030,P001,A010,2026-02-26,C002,Equipment,Equipment operation/rental,1609105.56,1543599.78,BuildPlant Equipment
CT00031,P001,A010,2026-02-27,C002,Labour,Site labour and workforce cost,1180052.14,1127863.69,Internal Team
CT00032,P001,A010,2026-03-07,C002,Material,Material purchase and consumption,1495494.22,1474899.54,C002
CT00033,P001,A010,2026-03-07,C002,Material,Material purchase and consumption,1282650.24,1349228.11,C002
CT00034,P001,A011,2026-03-14,C002,Subcontract,Subcontractor work,1044260.82,1088206.54,C002
CT00035,P001,A011,2026-03-18,C002,Material,Material purchase and consumption,1705982.96,1816776.92,C002
CT00036,P001,A011,2026-03-24,C002,Subcontract,Subcontractor work,1706334.21,1720073.2,C002
CT00037,P001,A011,2026-03-28,C002,Subcontract,Subcontractor work,1089914.08,1150912.51,C002
CT00038,P001,A012,2026-03-16,C002,Labour,Site labour and workforce cost,545681.33,566615.41,Internal Team
CT00039,P001,A012,2026-03-19,C002,Material,Material purchase and consumption,519755.71,538864.49,C002
CT00040,P001,A012,2026-03-28,C002,Labour,Site labour and workforce cost,775162.88,771748.28,Internal Team
CT00041,P001,A013,2026-04-04,C002,Subcontract,Subcontractor work,452197.99,431909.11,C002
CT00042,P001,A013,2026-04-04,C002,Labour,Site labour and workforce cost,530259.02,567807.16,Internal Team
CT00043,P001,A013,2026-04-08,C002,Material,Material purchase and consumption,603219.51,575736.23,C002
CT00044,P001,A014,2026-04-13,C001,Material,Material purchase and consumption,54025.85,57714.04,C001
CT00045,P001,A014,2026-04-18,C001,Subcontract,Subcontractor work,44826.3,46210.01,C001
CT00046,P001,A014,2026-04-19,C001,Material,Material purchase and consumption,63426.47,59880.66,C001
CT00047,P001,A015,2026-04-02,C002,Material,Material purchase and consumption,304259.04,293798.49,C002
CT00048,P001,A015,2026-04-09,C002,Material,Material purchase and consumption,247731.33,261433.82,C002
CT00049,P001,A015,2026-04-13,C002,Material,Material purchase and consumption,272709.71,287664.32,C002
CT00050,P001,A016,2026-04-20,C002,Subcontract,Subcontractor work,321987.55,321434.52,C002
CT00051,P001,A016,2026-04-28,C002,Labour,Site labour and workforce cost,221621.26,209305.86,Internal Team
CT00052,P001,A016,2026-05-02,C002,Material,Material purchase and consumption,295317.08,273930.1,C002
CT00053,P001,A017,2026-05-14,C002,Material,Material purchase and consumption,240250.9,222262.59,C002
CT00054,P001,A017,2026-05-17,C002,Material,Material purchase and consumption,285442.12,279674.73,C002
CT00055,P001,A017,2026-05-18,C002,Material,Material purchase and consumption,290430.22,272245.43,C002
CT00056,P001,A018,2026-05-28,C002,Material,Material purchase and consumption,311890.84,305794.63,C002
CT00057,P001,A018,2026-05-30,C002,Material,Material purchase and consumption,274109.56,278210.92,C002
CT00058,P001,A018,2026-06-04,C002,Material,Material purchase and consumption,205447.24,205944.7,C002
CT00059,P001,A019,2026-06-22,C002,Material,Material purchase and consumption,205506.29,208839.53,C002
CT00060,P001,A019,2026-06-29,C002,Equipment,Equipment operation/rental,305618.95,295096.25,BuildPlant Equipment
CT00061,P001,A019,2026-07-01,C002,Subcontract,Subcontractor work,308820.0,315359.83,C002
CT00062,P001,A020,2026-07-09,C002,Subcontract,Subcontractor work,276343.35,260724.13,C002
CT00063,P001,A020,2026-07-12,C002,Material,Material purchase and consumption,247898.59,267240.53,C002
CT00064,P001,A020,2026-07-21,C002,Material,Material purchase and consumption,204691.11,203135.72,C002
CT00065,P001,A021,2026-07-25,C002,Material,Material purchase and consumption,220174.38,204382.47,C002
CT00066,P001,A021,2026-08-02,C002,Subcontract,Subcontractor work,330131.24,317761.06,C002
CT00067,P001,A021,2026-08-08,C002,Material,Material purchase and consumption,270548.63,252831.02,C002
CT00068,P001,A022,2026-08-17,C002,Subcontract,Subcontractor work,237442.81,237615.49,C002
CT00069,P001,A022,2026-08-19,C002,Material,Material purchase and consumption,318536.66,315899.29,C002
CT00070,P001,A022,2026-08-21,C002,Subcontract,Subcontractor work,240230.8,253894.18,C002
CT00071,P001,A023,2026-09-05,C002,Subcontract,Subcontractor work,206694.4,203117.35,C002
CT00072,P001,A023,2026-09-07,C002,Material,Material purchase and consumption,229524.76,236136.36,C002
CT00073,P001,A023,2026-09-15,C002,Material,Material purchase and consumption,226978.4,233326.99,C002
CT00074,P001,A024,2026-09-23,C002,Material,Material purchase and consumption,265478.75,259587.2,C002
CT00075,P001,A024,2026-09-25,C002,Material,Material purchase and consumption,317604.07,321260.36,C002
CT00076,P001,A024,2026-09-28,C002,Labour,Site labour and workforce cost,231367.16,246178.04,Internal Team
CT00077,P001,A025,2026-10-14,C002,Material,Material purchase and consumption,303359.97,285437.55,C002
CT00078,P001,A025,2026-10-15,C002,Material,Material purchase and consumption,311437.47,333208.56,C002
CT00079,P001,A025,2026-10-21,C002,Material,Material purchase and consumption,284381.83,293953.41,C002
CT00080,P001,A026,2026-04-12,C002,Subcontract,Subcontractor work,318018.84,319710.69,C002
CT00081,P001,A026,2026-04-20,C002,Material,Material purchase and consumption,264271.22,269053.87,C002
CT00082,P001,A026,2026-04-26,C002,Material,Material purchase and consumption,238474.65,254792.74,C002
CT00083,P001,A027,2026-05-08,C002,Material,Material purchase and consumption,241417.57,232894.75,C002
CT00084,P001,A027,2026-05-08,C002,Material,Material purchase and consumption,266638.32,261460.03,C002
CT00085,P001,A027,2026-05-15,C002,Material,Material purchase and consumption,296913.92,289265.78,C002
CT00086,P001,A028,2026-05-24,C002,Material,Material purchase and consumption,355422.28,383333.44,C002
CT00087,P001,A028,2026-05-30,C002,Material,Material purchase and consumption,382492.87,382751.09,C002
CT00088,P001,A028,2026-05-30,C002,Material,Material purchase and consumption,320012.26,310518.47,C002
CT00089,P001,A029,2026-06-14,C002,Equipment,Equipment operation/rental,357032.9,374536.01,BuildPlant Equipment
CT00090,P001,A029,2026-06-15,C002,Subcontract,Subcontractor work,284832.39,304394.33,C002
CT00091,P001,A029,2026-06-29,C002,Material,Material purchase and consumption,251108.79,270967.24,C002
CT00092,P001,A030,2026-07-13,C002,Material,Material purchase and consumption,357554.44,374672.6,C002
CT00093,P001,A030,2026-07-20,C002,Labour,Site labour and workforce cost,331129.61,350036.34,Internal Team
CT00094,P001,A030,2026-07-20,C002,Material,Material purchase and consumption,251666.62,242643.82,C002
CT00095,P001,A031,2026-08-03,C002,Material,Material purchase and consumption,303203.66,321609.91,C002
CT00096,P001,A031,2026-08-12,C002,Material,Material purchase and consumption,278828.7,296394.6,C002
CT00097,P001,A031,2026-08-14,C002,Material,Material purchase and consumption,303340.43,294983.17,C002
CT00098,P001,A032,2026-08-16,C002,Material,Material purchase and consumption,260158.77,253995.3,C002
CT00099,P001,A032,2026-08-26,C002,Material,Material purchase and consumption,325361.96,320854.17,C002
CT00100,P001,A032,2026-08-30,C002,Material,Material purchase and consumption,366016.2,351769.19,C002
CT00101,P001,A033,2026-09-06,C002,Subcontract,Subcontractor work,319167.46,302314.33,C002
CT00102,P001,A033,2026-09-19,C002,Equipment,Equipment operation/rental,365120.81,370037.5,BuildPlant Equipment
CT00103,P001,A033,2026-09-25,C002,Material,Material purchase and consumption,277743.27,296834.18,C002
CT00104,P001,A034,2026-09-29,C002,Labour,Site labour and workforce cost,330412.33,347112.75,Internal Team
CT00105,P001,A034,2026-10-12,C002,Labour,Site labour and workforce cost,246885.55,247369.17,Internal Team
CT00106,P001,A034,2026-10-15,C002,Material,Material purchase and consumption,276972.76,284192.86,C002
CT00107,P001,A035,2026-10-20,C002,Subcontract,Subcontractor work,328802.51,340274.42,C002
CT00108,P001,A035,2026-10-25,C002,Material,Material purchase and consumption,305968.32,289142.09,C002
CT00109,P001,A035,2026-10-25,C002,Material,Material purchase and consumption,252653.86,272856.68,C002
CT00110,P001,A036,2026-11-17,C002,Subcontract,Subcontractor work,250072.1,234628.42,C002
CT00111,P001,A036,2026-11-23,C002,Material,Material purchase and consumption,382667.07,410065.61,C002
CT00112,P001,A036,2026-11-26,C002,Subcontract,Subcontractor work,285818.0,279194.56,C002
CT00113,P001,A037,2026-05-04,C002,Material,Material purchase and consumption,562344.46,523399.25,C002
CT00114,P001,A037,2026-05-10,C002,Subcontract,Subcontractor work,392381.59,402032.95,C002
CT00115,P001,A037,2026-05-11,C002,Material,Material purchase and consumption,468949.04,480613.45,C002
CT00116,P001,A038,2026-05-20,C002,Subcontract,Subcontractor work,417299.99,405292.5,C002
CT00117,P001,A038,2026-05-27,C002,Labour,Site labour and workforce cost,476427.76,479261.37,Internal Team
CT00118,P001,A038,2026-05-27,C002,Subcontract,Subcontractor work,458201.46,425990.32,C002
CT00119,P001,A039,2026-06-18,C002,Material,Material purchase and consumption,542372.85,532666.88,C002
CT00120,P001,A039,2026-06-20,C002,Material,Material purchase and consumption,470572.77,473125.58,C002
CT00121,P001,A039,2026-06-21,C002,Material,Material purchase and consumption,579324.44,568096.48,C002
CT00122,P001,A040,2026-07-08,C002,Subcontract,Subcontractor work,584886.52,543590.6,C002
CT00123,P001,A040,2026-07-09,C002,Material,Material purchase and consumption,491920.21,507529.31,C002
CT00124,P001,A040,2026-07-15,C002,Subcontract,Subcontractor work,634111.54,629888.49,C002
CT00125,P001,A041,2026-07-26,C002,Material,Material purchase and consumption,566975.0,696127.09,C002
CT00126,P001,A041,2026-07-28,C002,Equipment,Equipment operation/rental,542881.74,642834.25,BuildPlant Equipment
CT00127,P001,A041,2026-08-04,C002,Material,Material purchase and consumption,574915.43,703246.52,C002
CT00128,P001,A042,2026-08-29,C002,Material,Material purchase and consumption,601888.2,616179.21,C002
CT00129,P001,A042,2026-08-30,C002,Labour,Site labour and workforce cost,489656.73,465221.23,Internal Team
CT00130,P001,A042,2026-09-06,C002,Material,Material purchase and consumption,468951.02,484240.91,C002
CT00131,P001,A043,2026-09-14,C002,Subcontract,Subcontractor work,457039.44,491560.19,C002
CT00132,P001,A043,2026-09-16,C002,Equipment,Equipment operation/rental,563087.04,573044.41,BuildPlant Equipment
CT00133,P001,A043,2026-09-25,C002,Material,Material purchase and consumption,460945.26,446130.49,C002
CT00134,P001,A044,2026-10-03,C002,Labour,Site labour and workforce cost,568521.25,609352.33,Internal Team
CT00135,P001,A044,2026-10-05,C002,Material,Material purchase and consumption,575408.28,572797.32,C002
CT00136,P001,A044,2026-10-18,C002,Material,Material purchase and consumption,506441.54,501266.63,C002
CT00137,P001,A045,2026-10-28,C002,Material,Material purchase and consumption,636227.4,593344.99,C002
CT00138,P001,A045,2026-11-02,C002,Labour,Site labour and workforce cost,480594.29,456042.16,Internal Team
CT00139,P001,A045,2026-11-12,C002,Subcontract,Subcontractor work,472290.72,456230.8,C002
CT00140,P001,A046,2026-11-21,C002,Equipment,Equipment operation/rental,390811.07,363734.31,BuildPlant Equipment
CT00141,P001,A046,2026-11-24,C002,Material,Material purchase and consumption,485334.76,452741.8,C002
CT00142,P001,A046,2026-11-29,C002,Subcontract,Subcontractor work,449496.05,484451.0,C002
CT00143,P001,A047,2026-12-13,C002,Labour,Site labour and workforce cost,478567.5,503587.95,Internal Team
CT00144,P001,A047,2026-12-15,C002,Material,Material purchase and consumption,417838.04,413050.8,C002
CT00145,P001,A047,2026-12-17,C002,Labour,Site labour and workforce cost,558389.27,591288.36,Internal Team
CT00146,P001,A048,2026-04-23,C002,Material,Material purchase and consumption,293534.38,320330.46,C002
CT00147,P001,A048,2026-05-01,C002,Material,Material purchase and consumption,311856.31,381100.93,C002
CT00148,P001,A048,2026-05-10,C002,Material,Material purchase and consumption,209738.59,227364.73,C002
